EC_Tower,Date,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,source_file,NDVI_smooth,DFI_smooth,NDTI_smooth,SATVI_smooth,NDII7_smooth,SAVI_smooth,RDVI_smooth,MTVI1_smooth,NCI_smooth,NDCI_smooth,PSRI_smooth,NDWI_smooth,EVI_smooth,TCBI_smooth,TCGI_smooth,TCWI_smooth,BAI_126_smooth,BAI_136_smooth,BAI_146_smooth,BAI_236_smooth,BAI_246_smooth,BAI_346_smooth,BLUE_smooth,GREEN_smooth,RED_smooth,NIR1_smooth,SWIR1_smooth,SWIR2_smooth
EC AGM (NH),1/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169910988,18.60932411,0.150992626,0.218270021,-0.196125457,0.092262248,9.05030237,0.026325574,0.575678714,0.479524847,0.16640603,-0.337128171,0.090474595,0.374205124,0.000922458,-0.295369817,163.9678859,158.6578673,157.2428061,155.8045156,156.7653992,158.7822237,721.0334396,902.1382229,1178.41471,1660.530725,3349.547371,2470.557804
EC AGM (NH),1/6/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16973333,18.58109582,0.150666325,0.218042005,-0.196412831,0.092129797,9.038074959,0.026196754,0.575606441,0.479356969,0.166586966,-0.3370972,0.090294311,0.373964853,0.000885016,-0.295204546,163.889281,158.6195071,157.2549606,155.7963676,156.7983815,158.8321677,719.8929141,901.5881063,1177.953612,1659.271475,3346.766902,2470.146627
EC AGM (NH),1/7/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169555593,18.55130419,0.150325767,0.217810298,-0.196712494,0.091998491,9.025934985,0.026071743,0.575525365,0.479187724,0.166755488,-0.337064724,0.090115661,0.373734378,0.000845912,-0.295048128,163.8088656,158.5817779,157.2676391,155.7906221,156.8324385,158.8824904,718.773106,901.0776274,1177.51658,1658.045886,3344.042781,2469.85277
EC AGM (NH),1/8/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169378808,18.51988256,0.149970748,0.217575692,-0.197024586,0.091869279,9.013967156,0.025951865,0.5754346,0.479017894,0.16690869,-0.337030702,0.089939945,0.373516563,0.000805119,-0.294902846,163.7268317,158.5449982,157.2808482,155.7876836,156.8675361,158.932955,717.6837828,900.6159013,1177.109897,1656.866343,3341.399687,2469.696074
EC AGM (NH),1/9/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169204004,18.48676427,0.149601064,0.217338974,-0.197349248,0.091743107,9.002256182,0.02583844,0.575333263,0.478848262,0.167043667,-0.336995094,0.089768464,0.373314272,0.000762609,-0.294770986,163.6433715,158.5094869,157.2945943,155.787957,156.9036407,158.9833247,716.6347118,900.2120427,1176.739839,1655.745233,3338.862299,2469.696378
EC AGM (NH),1/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169032213,18.45188268,0.149216511,0.217100935,-0.197686619,0.091620922,8.990886772,0.025732791,0.575220471,0.478679608,0.167157514,-0.336957856,0.089602517,0.37313037,0.000718356,-0.294654833,163.5586771,158.4755626,157.3088841,155.7918468,156.9407183,159.0333629,715.6356604,899.8751666,1176.412689,1654.694942,3336.455297,2469.873522
EC AGM (NH),1/11/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168880686,18.41213463,0.148795594,0.216870193,-0.198054627,0.091520128,8.981396265,0.025662001,0.575070183,0.478523366,0.167185575,-0.336916381,0.089466072,0.373025506,0.000669794,-0.294604072,163.47369,158.4493922,157.3244917,155.8092117,156.9795607,159.0795627,714.8773652,899.8089914,1176.264692,1653.966711,3334.665687,2470.710253
EC AGM (NH),1/12/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168735542,18.37018277,0.148357117,0.216640197,-0.198437546,0.091426593,8.972537717,0.025603865,0.57490429,0.478370475,0.16718121,-0.336872927,0.08933966,0.37294982,0.000619163,-0.294577771,163.3878422,158.4259442,157.3407386,155.8318618,157.0194174,159.1247079,714.2040821,899.8453334,1176.183624,1653.354722,3333.095447,2471.805573
EC AGM (NH),1/13/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168597858,18.32606263,0.147901824,0.216412016,-0.198834698,0.091341226,8.964393496,0.025559502,0.574722462,0.47822184,0.167142227,-0.336827552,0.089224526,0.372905639,0.000566547,-0.294577714,163.3014555,158.4055084,157.3575967,155.8600574,157.0601813,159.1685265,713.6245944,899.9910261,1176.17441,1652.869618,3331.7665,2473.172271
EC AGM (NH),1/14/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168468702,18.27982803,0.147430622,0.216186752,-0.199245265,0.091264912,8.957043945,0.025529975,0.574524479,0.478078373,0.167066606,-0.336780329,0.08912188,0.372895144,0.000512047,-0.294605559,163.2148695,158.3883633,157.3750315,155.8940269,157.1017332,159.2107451,713.1473332,900.2523474,1176.24163,1652.521512,3330.699836,2474.821581
