Year,Block,Treatment,Pasture,Ecosite,C3PGObj,Plot,Transect,Distance,BOBU,WSPG,VUOC,C3PG,FORB,SS,C4PG,SD,
2013,3,AGM,26W,Loamy,MCLO,2,1,10,276.6,0.0,189.4,52.7,30.7,0.0,276.6,10.2,
2013,3,AGM,26W,Loamy,MCLO,2,1,20,341.8,0.0,68.4,19.9,35.0,0.0,341.8,15.6,
2013,3,AGM,26W,Loamy,MCLO,2,4,10,386.4,0.0,24.2,4.3,0.0,0.0,386.4,25.3,
2013,3,AGM,26W,Loamy,MCLO,2,4,20,305.7,0.0,0.0,35.0,19.4,0.0,305.7,10.2,
2013,3,AGM,26W,Loamy,MCLO,3,1,10,198.1,8.6,428.4,185.1,341.8,0.0,206.7,10.2,
2013,3,AGM,26W,Loamy,MCLO,3,1,20,375.1,0.0,291.2,474.2,658.2,0.0,375.1,19.4,
2013,3,AGM,26W,Loamy,MCLO,3,4,10,220.7,9.7,181.4,0.0,22.1,0.0,230.3,32.3,
2013,3,AGM,26W,Loamy,MCLO,3,4,20,190.5,0.0,198.1,0.0,0.0,0.0,190.5,10.8,
2013,3,AGM,26W,Loamy,MCLO,4,1,10,87.7,0.0,262.6,84.5,0.0,0.0,87.7,15.1,
2013,3,AGM,26W,Loamy,MCLO,4,1,20,76.4,35.5,57.6,101.2,0.0,0.0,111.9,9.1,
2013,3,AGM,26W,Loamy,MCLO,4,4,10,223.4,0.0,2.7,0.0,0.0,0.0,223.4,4.8,
2013,3,AGM,26W,Loamy,MCLO,4,4,20,318.6,0.0,204.5,54.9,148.0,0.0,318.6,11.8,
2013,3,TGM,26E,Loamy,MCLO,1,1,10,387.0,0.0,17.2,33.4,31.2,0.0,387.0,16.7,
2013,3,TGM,26E,Loamy,MCLO,1,1,20,509.7,0.0,85.6,92.6,21.5,0.0,509.7,15.1,
2013,3,TGM,26E,Loamy,MCLO,1,4,10,333.7,0.0,19.4,39.8,0.0,0.0,333.7,8.6,
2013,3,TGM,26E,Loamy,MCLO,1,4,20,410.1,0.0,67.3,4.3,7.5,0.0,410.1,14.0,
2013,3,TGM,26E,Loamy,MCLO,2,1,10,435.4,0.0,3.8,49.0,8.1,103.9,435.4,14.5,
2013,3,TGM,26E,Loamy,MCLO,2,1,20,451.0,0.0,2.2,0.0,4.8,351.4,451.0,7.5,
2013,3,TGM,26E,Loamy,MCLO,2,4,20,123.2,0.0,20.5,52.7,21.0,0.0,123.2,61.4,
2013,3,TGM,26E,Loamy,MCLO,3,1,10,159.3,0.0,63.0,46.3,0.0,0.0,159.3,96.3,
2013,3,TGM,26E,Loamy,MCLO,3,1,20,306.8,3.2,29.1,150.2,0.0,0.0,310.0,78.6,
2013,3,TGM,26E,Loamy,MCLO,3,4,10,269.1,0.0,77.0,6.5,35.0,0.0,269.1,91.5,
2013,3,TGM,26E,Loamy,MCLO,3,4,20,432.2,196.4,142.6,49.5,263.7,0.0,628.6,145.9,
2013,3,TGM,26E,Loamy,MCLO,4,1,10,282.6,0.0,72.7,15.1,5.9,0.0,282.6,101.7,
2013,3,TGM,26E,Loamy,MCLO,4,1,20,175.5,7.5,190.5,126.5,0.0,0.0,183.0,87.2,
2013,3,TGM,26E,Loamy,MCLO,4,4,10,116.8,0.0,14.5,0.0,0.0,0.0,116.8,30.1,
2013,3,TGM,26E,Loamy,MCLO,4,4,20,253.5,64.6,15.1,45.7,18.3,0.0,318.1,59.2,
2013,4,AGM,25NW,Loamy,MCLO,1,1,10,380.5,0.0,4.8,53.3,4.3,0.0,380.5,44.7,
2013,4,AGM,25NW,Loamy,MCLO,1,1,20,397.2,45.2,22.1,42.0,15.1,0.0,442.4,59.2,
