"","YearSampled","Pasture","Plot","Transect","Distance","Block","Treatment","Ecosite","PastureSize_ha","X","Y","FGcode","kgPerHa"
"121",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"FORB",36.6
"122",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"SD",3.77
"123",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"WSPG",0
"124",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"SS",0
"125",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"OTHER",0
"126",2013,"15E",4,4,"20",1,"TGM","Loamy",133.06,520358,4520020,"NA",0
"127",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"AG",41.98
"128",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"BOBU",527.43
"129",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"C3PG",71.58
"130",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"FORB",28.52
"131",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"SD",9.15
"132",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"WSPG",0
"133",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"SS",0
"134",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"OTHER",0
"135",2013,"17N",1,1,"10",9,"TGM","Loamy",128.63,525796,4520980,"NA",0
"136",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"AG",27.99
"137",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"BOBU",554.34
"138",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"C3PG",69.43
"139",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"FORB",3.23
"140",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"SD",34.98
"141",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"WSPG",0
"142",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"SS",0
"143",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"OTHER",0
"144",2013,"17N",1,1,"20",9,"TGM","Loamy",128.63,525796,4520980,"NA",0
"145",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"AG",0
"146",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"BOBU",369.74
"147",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"C3PG",254.03
"148",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"FORB",12.38
"149",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"SD",222.27
"150",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"WSPG",2.15
"151",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"SS",0
"152",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"OTHER",0
"153",2013,"17N",1,4,"10",9,"TGM","Loamy",128.63,525796,4520980,"NA",0
"154",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"AG",53.28
"155",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"BOBU",188.37
"156",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"C3PG",179.76
"157",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"FORB",29.6
"158",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"SD",101.72
"159",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"WSPG",183.52
"160",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"SS",5.92
"161",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"OTHER",0
"162",2013,"17N",1,4,"20",9,"TGM","Loamy",128.63,525796,4520980,"NA",0
"163",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"AG",194.83
"164",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"BOBU",357.9
"165",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"C3PG",117.86
"166",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"FORB",0
"167",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"SD",38.75
"168",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"WSPG",0
"169",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"SS",0
"170",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"OTHER",0
"171",2013,"17N",2,1,"10",9,"TGM","Loamy",128.63,525804,4520580,"NA",0
"172",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"AG",71.58
"173",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"BOBU",346.06
"174",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"C3PG",48.98
"175",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"FORB",4.31
"176",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"SD",7.53
"177",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"WSPG",0
"178",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"SS",0
"179",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"OTHER",0
"180",2013,"17N",2,1,"20",9,"TGM","Loamy",128.63,525804,4520580,"NA",0
"181",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"AG",0
"182",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"BOBU",340.68
"183",2013,"17N",2,4,"10",9,"TGM","Loamy",128.63,525804,4520580,"C3PG",0
