ID,PastureCode,Year,YearNum,Rest,SDperHa_June15LastYear_to_June15ThisYear,NumSteers,RotationOrder,TriggerUsed,TriggerUsedID,DateInPasture,DateOutPasture,Days,split_herd,comments,,
113,22W,2016,2016,0,22.23,22,,,,5/13/2016,10/1/2016,141,,,,
114,5W,2016,2016,0,24.34,24,,,,5/13/2016,10/1/2016,141,,,,
115,CN,2016,2016,0,22.59,66,,,,5/13/2016,10/1/2016,141,,,,
116,15E,2016,2016,0,22.81,22,,,,5/13/2016,10/1/2016,141,,,,
117,24W,2016,2016,0,24.22,22,,,,5/13/2016,10/1/2016,141,,,,
118,26E,2016,2016,0,24.08,22,,,,5/13/2016,10/1/2016,141,,,,
119,25SE,2016,2016,0,23.78,22,,,,5/13/2016,10/1/2016,141,,,,
120,31E,2016,2016,0,24.76,26,,,,5/13/2016,10/1/2016,141,,,,
121,19N,2016,2016,0,27.92,26,,,,5/13/2016,10/1/2016,141,,,,
122,7NW,2016,2016,0,23.59,22,,,,5/13/2016,10/1/2016,141,,,,
123,5E,2016,2016,0,26.31,24,,,,5/13/2016,10/1/2016,141,,,,
124,17N,2016,2016,0,25.82,24,,,,5/13/2016,10/1/2016,141,,,,
125,20SE,2016,2016,0,25.66,24,,,,5/13/2016,10/1/2016,141,,,,
200,18S,2017,2017,0,,244,1,MaxDays,2,5/11/2017,6/1/2017,21,,,,
201,7SE,2017,2017,0,,244,2,MaxDays (and coincidentally HECO flowers reached 50 percent),2,6/1/2017,6/23/2017,22,,,,
202,NH,2017,2017,0,,244,3,MaxDays,2,6/23/2017,7/12/2017,19,,,,
203,21N,2017,2017,0,,244,4,"1 week, unless .3 inches rain fell, which it did not",6,7/12/2017,7/20/2017,8,,,,
204,25NW,2017,2017,0,,244,5,MaxDays,2,7/20/2017,8/9/2017,20,,,,
205,26W,2017,2017,0,,244,6,Max Days (and forage trigger hit),2,8/9/2017,8/30/2017,21,,,,
