Year,Date,Id,iapar,pct_cover,pct_green,pct_litt,pct_bare,pct_sd,abs_green,abs_sd,rel_bare,rel_litt,rel_sd,rel_green,pct_c4_ras,pct_c3_ras,ndvi,dfi,ndti,satvi,ndii7,blue,green,red,nir,swir1,swir2,bai_346,bai_146,bai_136,bai_236,bai_126,bai_246,pct_canopy,abs_cover
2013,2013-06-12,15E_P2_4,59.58705,0.5599999999999999,0.48,0.34,0.1,0.08,0.96,0.14,0.08235294117647059,0.27058823529411763,0.08235294117647059,0.5647058823529412,0.7234407365322113,0.2106462965408961,0.29117927,10.677249,0.10736398,0.17345934,-0.0431624,908.6944,1202.2754,1417.3287,2583.4202,3493.6516,2815.0488,128.38367,135.11153,156.83247,163.44789,151.2923,133.98064,0.52,1.1
2013,2013-06-12,15E_P3_1,54.6584,0.54,0.48,0.38,0.08,0.06,0.84,0.2,0.0898876404494382,0.3258426966292135,0.11235955056179775,0.47191011235955055,0.7730666697025299,0.1735685194532076,0.32067534,10.776746,0.11731392,0.18241419,-0.016324377,858.3684,1136.7877,1308.2759,2538.9827,3329.2673,2634.5237,125.28367,133.53296,159.43498,167.98268,151.95293,132.02344,0.52,1.04
2013,2013-06-12,15E_P3_2,53.764675,0.56,0.54,0.22,0.22,0.02,1.2,0.2,0.11764705882352941,0.19607843137254902,0.09803921568627451,0.5882352941176471,0.6384314845005671,0.2683796336253484,0.32093465,10.630234,0.11596111,0.17695975,-0.008629177,841.9531,1121.0115,1301.6688,2526.8298,3255.6516,2584.4148,125.0171,133.06157,158.49493,166.54585,151.58382,131.55478,0.5,1.4
2013,2013-06-12,15E_P3_3,60.380688,0.5800000000000001,0.46,0.28,0.14,0.12,1.04,0.28,0.11214953271028037,0.27102803738317754,0.1308411214953271,0.48598130841121495,0.6696574091911316,0.2585333337386449,0.347178,10.7911415,0.12542565,0.1858222,0.015934346,809.835,1082.8143,1243.451,2559.2546,3201.707,2492.8777,121.83032,130.64459,159.7546,168.84373,151.73912,128.82991,0.54,1.32
2013,2013-06-12,15E_P3_4,52.94547,0.6,0.5,0.2,0.2,0.1,0.86,0.18,0.2247191011235955,0.19101123595505617,0.10112359550561797,0.48314606741573035,0.7353851894537607,0.2117722208301226,0.3107567,10.684279,0.11359098,0.177532,-0.023650596,861.6343,1141.9634,1319.8344,2505.1072,3308.1116,2637.6746,126.71243,134.56381,158.87984,167.14044,151.70967,133.22528,0.54,1.04
2013,2013-06-12,15E_P4_1,52.944736,0.6,0.6,0.28,0.12,0.0,1.16,0.04,0.11627906976744186,0.18604651162790697,0.023255813953488372,0.6744186046511628,0.7187703549861908,0.1931092614928881,0.31699327,10.505251,0.113091536,0.1719025,-0.0056546424,863.3486,1165.9642,1357.2329,2615.1782,3323.236,2651.0935,124.11822,131.74199,156.665,165.26866,149.466,130.48164,0.46,1.2
2013,2013-06-12,15E_P4_2,58.908764,0.58,0.48,0.28,0.14,0.1,1.16,0.3,0.07272727272727272,0.2636363636363636,0.13636363636363635,0.5272727272727272,0.722431500752767,0.223120371500651,0.31483087,10.657182,0.11410751,0.17893131,-0.019303108,870.5928,1159.1908,1347.4218,2585.3018,3381.9998,2691.2888,125.27114,133.10753,158.03809,166.00916,151.24101,131.68407,0.58,1.46
2013,2013-06-12,15E_P4_3,51.017452,0.42000000000000004,0.34,0.38,0.2,0.08,0.64,0.34,0.15384615384615385,0.3076923076923077,0.18681318681318682,0.3516483516483517,0.7093555529912313,0.2339555521806081,0.31459543,10.4212885,0.111489005,0.1757346,-0.018100468,870.88135,1162.6318,1345.0709,2577.4895,3348.4387,2680.5881,125.381355,133.21294,158.11687,166.70491,150.82356,131.8785,0.36,0.98
2013,2013-06-12,15E_P4_4,53.053387,0.46,0.44,0.42,0.12,0.02,0.78,0.02,0.09523809523809523,0.42857142857142855,0.011904761904761904,0.4642857142857143,0.7110240658124288,0.2322796260317166,0.3153825,10.626266,0.11415354,0.18242967,-0.025934288,873.175,1150.63,1326.5236,2546.856,3378.8835,2690.3489,126.07837,134.20778,159.55226,167.7137,152.44261,132.69492,0.42,0.8
2013,2013-06-12,17N_P1_1,54.12466,0.6599999999999999,0.58,0.32,0.02,0.08,1.12,0.34,0.018018018018018018,0.32432432432432434,0.15315315315315314,0.5045045045045045,0.7469759186108907,0.1963870351513227,0.30762723,11.042633,0.11646405,0.17998779,-0.025208125,884.5618,1170.3876,1356.1862,2561.302,3404.042,2694.5762,126.463715,134.05872,158.33974,166.4093,151.51578,132.72801,0.66,1.4600000000000002
