index,Year,PastureID,on_date,off_date,on_wt_raw,on_wt,off_wt_raw,off_wt,on_ct,period_days,adg,outlier_adg_upr,outlier_adg_lwr,outlier_adg,outlier_on_wt_upr,outlier_on_wt_lwr,outlier_on_wt,outlier_off_wt_upr,outlier_off_wt_lwr,outlier_off_wt,num_animals,area_ha,on_ct_ha,on_au,on_au_ha,CP,DOM,Biomass_kg_ha,forage_kg_au,forage_kg_100kg,period
240,2019,15E,2019-05-16,2019-06-13,650.5555555555555,605.0166666666667,774.0,706.6619999999999,22.0,28.0,3.630190476190476,6.5529555287085355,0.7074254236724169,0.0,781.1788668252304,428.85446650810286,0.0,887.4213523477456,525.9026476522542,0.0,18,132.26,0.16633902918493876,13.310366666666667,0.10063788497404104,12.088464197530865,65.97476790123459,705.422262962963,1752.3775046169806,1545.3324354790009,0
241,2019,15E,2019-06-13,2019-07-11,774.0,706.6619999999999,871.7777777777778,795.9331111111111,22.0,28.0,3.1882539682539686,5.41578332128334,0.9607246152245964,0.0,887.4213523477456,525.9026476522542,0.0,989.0701571410648,602.7960650811574,0.0,18,132.26,0.16633902918493876,15.546563999999998,0.11754547104188719,11.48365185185185,64.63596296296295,903.1826433333333,1920.921825672648,1693.9630846723883,1
242,2019,15E,2019-07-11,2019-08-08,871.7777777777778,795.9331111111111,939.7777777777778,855.1977777777778,22.0,28.0,2.116595238095238,3.8465176053587817,0.38667287083169466,0.0,989.0701571410648,602.7960650811574,0.0,1056.7692724945482,653.6262830610076,0.0,18,132.26,0.16633902918493876,17.510528444444443,0.1323947409983702,9.241945679012344,62.86367901234569,895.8532618518518,1691.6330193638125,1491.7649689423238,2
243,2019,15E,2019-08-08,2019-09-05,939.7777777777778,855.1977777777778,980.1111111111111,910.5232222222221,22.0,28.0,1.9759087301587297,3.992360447051701,-0.04054298673424195,0.0,1056.7692724945482,653.6262830610076,0.0,1131.1386034355057,689.9078410089389,0.0,18,132.26,0.16633902918493876,18.81435111111111,0.14225276811667256,8.007676543209875,61.94400617283953,782.7138388888887,1375.568731019217,1213.0439769251118,3
244,2019,15E,2019-09-05,2019-09-27,980.1111111111111,910.5232222222221,984.2777777777778,914.7288333333332,22.0,22.0,0.19116414141414179,4.594826895087714,-4.212498612259431,0.0,1131.1386034355057,689.9078410089389,0.0,1145.306688864184,684.1509778024825,0.0,18,132.26,0.16633902918493876,20.03151088888889,0.1514555488347867,6.8311206349206355,61.58846666666667,692.623618095238,1143.278710195652,1008.1992430301698,4
245,2019,19N,2019-05-16,2019-06-13,642.0,597.06,767.6818181818181,700.8935,26.0,28.0,3.7083392857142856,6.435470462208792,0.9812081092197786,0.0,779.3427113500973,414.7772886499029,0.0,906.7612823272916,495.0257176727084,0.0,22,126.36,0.205761316872428,15.523559999999998,0.12285185185185184,12.169841975308644,66.09180246913581,765.1861840740742,1557.1319694000606,1373.1553459773238,0
246,2019,19N,2019-06-13,2019-07-11,767.6818181818181,700.8935,863.0909090909091,788.0020000000001,26.0,28.0,3.1110178571428575,4.846955267766933,1.3750804465187816,0.0,906.7612823272916,495.0257176727084,0.0,987.9068458499336,588.0971541500663,0.0,22,126.36,0.205761316872428,18.223231000000002,0.14421676954732512,11.3298987654321,64.45068148148145,1001.4061177777777,1735.9391021603135,1530.836245909792,1
247,2019,19N,2019-07-11,2019-08-08,865.1428571428571,789.8754285714285,948.6666666666666,863.2866666666666,26.0,28.0,2.6218299319727896,4.96837697504316,-0.006506845173030129,0.0,987.9068458499335,588.0971541500663,0.0,1084.8316644941501,630.1046991422131,0.0,21,126.36,0.205761316872428,20.53676114285714,0.16252580834803057,9.421454320987655,62.84994197530864,1010.2118166666666,1553.9252302985208,1370.327486151075,2
248,2019,19N,2019-08-08,2019-09-05,942.2727272727273,857.4681818181817,1021.4545454545455,948.9312727272728,26.0,28.0,3.266538961038961,5.436091388710771,1.0969865333671502,0.0,1084.8316644941501,630.1046991422131,0.0,1182.1793594813585,715.6831859731867,0.0,22,126.36,0.205761316872428,22.294172727272723,0.17643378226711556,8.212990123456791,62.326302469135804,901.2097425925924,1276.9801381180325,1126.1037200586352,3
249,2019,19N,2019-09-05,2019-09-27,1021.4545454545455,948.9312727272728,997.0909090909091,927.2065454545456,26.0,22.0,-0.9874876033057857,2.8191879429691657,-4.794163149580737,0.0,1182.1793594813585,715.6831859731867,0.0,1116.088538429889,738.3245524792021,0.0,22,126.36,0.205761316872428,24.672213090909093,0.19525334829779276,6.947012698412699,61.60482539682539,788.7952314285715,1009.96377053869,890.6355903109128,4
250,2019,23E,2019-05-16,2019-06-13,651.1612903225806,605.58,763.0322580645161,696.6484516129032,34.0,28.0,3.2524447004608295,5.703924211516729,0.6346695384832692,0.0,754.3824774762352,462.1737725237647,0.0,813.592263598546,580.444611401454,0.0,31,119.77,0.28387743174417635,20.58972,0.1719104951156383,11.80433333333333,65.61258888888891,585.9788622222221,852.1569055863258,751.4737565681061,0
251,2019,23E,2019-06-13,2019-07-11,763.4375,697.0184375,872.0,796.136,34.0,28.0,3.5399129464285712,5.565935507160052,1.5138903856970898,0.0,813.592263598546,580.444611401454,0.0,928.3129487530916,663.9590512469083,0.0,32,119.77,0.28387743174417635,23.698626875000002,0.19786780391583872,11.757624691358023,64.80803950617285,718.3821488888889,907.6541694403783,800.413965905448,1
252,2019,23E,2019-07-11,2019-08-08,872.0,796.136,913.8125,831.569375,34.0,28.0,1.265477678571429,3.563233033437455,-1.0322776762945975,0.0,928.3129487530916,663.9590512469083,0.0,966.3669289989983,696.7718210010015,0.0,32,119.77,0.28387743174417635,27.068624,0.22600504299908158,9.413607407407406,62.8956086419753,710.183744814815,785.5839579846244,692.7664660537604,2
253,2019,23E,2019-08-08,2019-09-05,913.8125,831.569375,967.34375,898.66234375,34.0,28.0,2.396177455357143,4.660039770314965,0.1323151403993199,0.0,966.3669289989983,696.7718210010015,0.0,1052.453414411022,744.871273088978,0.0,32,119.77,0.28387743174417635,28.273358750000003,0.2360637784921099,8.112409876543209,62.00057777777778,620.0398859259259,656.6444563059574,579.0612891534815,3
254,2019,23E,2019-09-05,2019-09-27,968.8709677419355,900.081129032258,965.8709677419355,897.7275483870968,34.0,22.0,-0.10698093841642246,3.7820161163103814,-3.704257593583109,0.0,1052.453414411022,744.871273088978,0.0,1064.4177878109958,734.6175871890035,0.0,31,119.77,0.28387743174417635,30.602758387096774,0.255512719271076,7.091828571428572,61.47270793650792,522.2580371428571,510.99025386363286,450.6162692848055,4
255,2019,23W,2019-05-16,2019-06-13,651.75,606.1275,776.875,709.286875,17.0,28.0,3.6842633928571424,5.735132023738996,1.6333947619752909,0.0,755.8528788106746,456.4021211893255,0.0,826.1788679364283,592.3948820635719,0.0,16,126.48,0.13440860215053763,10.3041675,0.08146874999999999,11.97268888888889,66.80392345679014,775.7226174074074,2380.4299728650785,2099.1799071620876,0
256,2019,23W,2019-06-13,2019-07-11,776.875,709.286875,884.875,807.8908749999999,17.0,28.0,3.5215714285714284,5.163107105793168,1.8800357513496886,0.0,826.1788679364283,592.3948820635719,0.0,915.6830823688538,700.0986676311461,0.0,16,126.48,0.13440860215053763,12.057876875,0.09533425739247312,11.779649382716046,64.87955308641976,1128.697227037037,2959.841661089371,2610.1335532512335,1
