"Year","Pasture","Treatment","Allocation.number","AnimalEID","Tag","Tag.Color","Owner","Coat","Field.Notes","QAQC.Notes","Processing.Notes","Record.Type","Date","Weight","Percent_Shrink","Weight_Shrunk","Use_Flag","Outlier_Flag1"
2000,"23E","LTGI_HVY","25",NA,915,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,512,0,512,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,915,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,584,0,584,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,915,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,622,0,622,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,915,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,680,0,680,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,917,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,564,0,564,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,917,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,632,0,632,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,917,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,664,0,664,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,917,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,726,0,726,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,920,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,570,0,570,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,920,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,628,0,628,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,920,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-07-14,656,0,656,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,920,"Brown","Local",NA,NA,NA,NA,"off-study",2000-08-11,708,0,708,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,922,"Purple","Local",NA,NA,NA,NA,"on",2000-05-19,608,0,608,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,922,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-06-15,682,0,682,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,922,"Purple","Local",NA,NA,NA,NA,"mid-season",2000-07-14,698,0,698,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,922,"Purple","Local",NA,NA,NA,NA,"off-study",2000-08-11,758,0,758,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,924,"Brown","Local",NA,NA,NA,NA,"on",2000-05-19,532,0,532,"Yes","good"
2000,"23E","LTGI_HVY","25",NA,924,"Brown","Local",NA,NA,NA,NA,"mid-season",2000-06-15,596,0,596,"Yes","good"
