"Year","Treatment","Herd","Allocation.number","Tag","Season.on.date","Season.off.date","Weight_Shrunk.on","Weight_Shrunk.off","Season.Days","Gain_shrunk","ADG_shrunk"
2013,"CARM","26W","14",439,2013-05-30,2013-09-28,643.56,894.66,121,251.1,2.07520661157025
2013,"CARM","26W","14",509,2013-05-30,2013-09-28,585.9,846.3,121,260.4,2.15206611570248
2013,"CARM","26W","14",524,2013-05-30,2013-09-28,598.92,874.2,121,275.28,2.27504132231405
2013,"CARM","26W","14",688,2013-05-30,2013-09-28,513.36,773.76,121,260.4,2.15206611570248
2013,"CARM","31W","16",30,2013-05-30,2013-09-28,652.86,937.44,121,284.58,2.35190082644628
2013,"CARM","31W","16",124,2013-05-30,2013-09-28,533.82,833.28,121,299.46,2.47487603305785
2013,"CARM","31W","16",140,2013-05-30,2013-09-28,578.46,877.92,121,299.46,2.47487603305785
2013,"CARM","31W","16",146,2013-05-30,2013-09-28,571.02,851.88,121,280.86,2.32115702479339
2013,"CARM","31W","16",164,2013-05-30,2013-09-28,623.1,950.46,121,327.36,2.70545454545455
2013,"CARM","31W","16",465,2013-05-30,2013-09-28,565.44,935.58,121,370.14,3.05900826446281
2013,"CARM","31W","16",506,2013-05-30,2013-09-28,587.76,820.26,121,232.5,1.92148760330579
2013,"CARM","31W","16",612,2013-05-30,2013-09-28,636.12,907.68,121,271.56,2.24429752066116
2013,"CARM","31W","16",616,2013-05-30,2013-09-28,608.22,859.32,121,251.1,2.07520661157025
2013,"CARM","31W","16",652,2013-05-30,2013-09-28,554.28,831.42,121,277.14,2.2904132231405
2013,"CARM","31W","16",653,2013-05-30,2013-09-28,539.4,864.9,121,325.5,2.6900826446281
2013,"CARM","31W","16",695,2013-05-30,2013-09-28,502.2,827.7,121,325.5,2.6900826446281
2013,"CARM","31W","16",701,2013-05-30,2013-09-28,598.92,905.82,121,306.9,2.53636363636364
2013,"CARM","31W","16",809,2013-05-30,2013-09-28,513.36,788.64,121,275.28,2.27504132231405
2013,"CARM","31W","16",831,2013-05-30,2013-09-28,524.52,861.18,121,336.66,2.78231404958678
2013,"CARM","31W","16",834,2013-05-30,2013-09-28,561.72,866.76,121,305.04,2.52099173553719
2013,"CARM","7SE","14",9,2013-05-30,2013-09-28,669.6,1015.56,121,345.96,2.85917355371901
2013,"CARM","7SE","14",72,2013-05-30,2013-09-28,537.54,874.2,121,336.66,2.78231404958678
2013,"CARM","7SE","14",104,2013-05-30,2013-09-28,576.6,896.52,121,319.92,2.64396694214876
2013,"CARM","7SE","14",119,2013-05-30,2013-09-28,530.1,794.22,121,264.12,2.18280991735537
2013,"CARM","7SE","14",129,2013-05-30,2013-09-28,546.84,833.28,121,286.44,2.36727272727273
2013,"CARM","7SE","14",171,2013-05-30,2013-09-28,563.58,887.22,121,323.64,2.67471074380165
2013,"CARM","7SE","14",179,2013-05-30,2013-09-28,593.34,913.26,121,319.92,2.64396694214876
2013,"CARM","7SE","14",435,2013-05-30,2013-09-28,556.14,810.96,121,254.82,2.10595041322314
2013,"CARM","7SE","14",513,2013-05-30,2013-09-28,643.56,911.4,121,267.84,2.21355371900826
2013,"CARM","7SE","14",615,2013-05-30,2013-09-28,602.64,872.34,121,269.7,2.22892561983471
2013,"CARM","7SE","14",663,2013-05-30,2013-09-28,509.64,909.54,121,399.9,3.30495867768595
2013,"CARM","7SE","14",684,2013-05-30,2013-09-28,491.04,790.5,121,299.46,2.47487603305785
2013,"CARM","7SE","14",817,2013-05-30,2013-09-28,582.18,913.26,121,331.08,2.73619834710744
2013,"CARM","7SE","14",837,2013-05-30,2013-09-28,611.94,943.02,121,331.08,2.73619834710744
2013,"CARM","8E","14",2,2013-05-30,2013-09-28,611.94,930,121,318.06,2.62859504132231
2013,"CARM","8E","14",52,2013-05-30,2013-09-28,641.7,989.52,121,347.82,2.87454545454545
2013,"CARM","8E","14",53,2013-05-30,2013-09-28,582.18,933.72,121,351.54,2.90528925619835
2013,"CARM","8E","14",57,2013-05-30,2013-09-28,665.88,963.48,121,297.6,2.4595041322314
2013,"CARM","8E","14",109,2013-05-30,2013-09-28,600.78,881.64,121,280.86,2.32115702479339
2013,"CARM","8E","14",115,2013-05-30,2013-09-28,574.74,818.4,121,243.66,2.01371900826446
2013,"CARM","8E","14",405,2013-05-30,2013-09-28,563.58,861.18,121,297.6,2.45950413223141
2013,"CARM","8E","14",409,2013-05-30,2013-09-28,591.48,877.92,121,286.44,2.36727272727273
2013,"CARM","8E","14",450,2013-05-30,2013-09-28,504.06,788.64,121,284.58,2.35190082644628
2013,"CARM","8E","14",503,2013-05-30,2013-09-28,544.98,855.6,121,310.62,2.56710743801653
2013,"CARM","8E","14",659,2013-05-30,2013-09-28,533.82,879.78,121,345.96,2.85917355371901
2013,"CARM","8E","14",681,2013-05-30,2013-09-28,526.38,842.58,121,316.2,2.61322314049587
2013,"CARM","8E","14",686,2013-05-30,2013-09-28,489.18,846.3,121,357.12,2.95140495867769
2013,"CARM","8E","14",820,2013-05-30,2013-09-28,554.28,833.28,121,279,2.30578512396694
2013,"CARM","NH","20",13,2013-05-30,2013-09-28,611.94,941.16,121,329.22,2.72082644628099
2013,"CARM","NH","20",17,2013-05-30,2013-09-28,533.82,840.72,121,306.9,2.53636363636364
2013,"CARM","NH","20",24,2013-05-30,2013-09-28,615.66,911.4,121,295.74,2.44413223140496
2013,"CARM","NH","20",51,2013-05-30,2013-09-28,582.18,894.66,121,312.48,2.58247933884298
2013,"CARM","NH","20",79,2013-05-30,2013-09-28,531.96,809.1,121,277.14,2.2904132231405
2013,"CARM","NH","20",84,2013-05-30,2013-09-28,552.42,874.2,121,321.78,2.65933884297521
2013,"CARM","NH","20",85,2013-05-30,2013-09-28,643.56,946.74,121,303.18,2.50561983471074
2013,"CARM","NH","20",89,2013-05-30,2013-09-28,574.74,900.24,121,325.5,2.6900826446281
2013,"CARM","NH","20",110,2013-05-30,2013-09-28,520.8,814.68,121,293.88,2.42876033057851
2013,"CARM","NH","20",180,2013-05-30,2013-09-28,487.32,799.8,121,312.48,2.58247933884297
2013,"CARM","NH","20",186,2013-05-30,2013-09-28,541.26,853.74,121,312.48,2.58247933884297
2013,"CARM","NH","20",444,2013-05-30,2013-09-28,504.06,777.48,121,273.42,2.2596694214876
2013,"CARM","NH","20",481,2013-05-30,2013-09-28,652.86,933.72,121,280.86,2.32115702479339
2013,"CARM","NH","20",529,2013-05-30,2013-09-28,604.5,952.32,121,347.82,2.87454545454545
2013,"CARM","NH","20",680,2013-05-30,2013-09-28,468.72,796.08,121,327.36,2.70545454545455
2013,"CARM","NH","20",715,2013-05-30,2013-09-28,502.2,773.76,121,271.56,2.24429752066116
2013,"CARM","NH","20",722,2013-05-30,2013-09-28,558,877.92,121,319.92,2.64396694214876
2013,"CARM","NH","20",828,2013-05-30,2013-09-28,630.54,963.48,121,332.94,2.75157024793388
2013,"CARM","NH","20",833,2013-05-30,2013-09-28,584.04,902.1,121,318.06,2.62859504132231
2013,"CARM","NH","20",845,2013-05-30,2013-09-28,589.62,837,121,247.38,2.04446280991736
2013,"TRM","15E","20",16,2013-05-30,2013-09-28,533.82,827.7,121,293.88,2.42876033057851
2013,"TRM","15E","20",47,2013-05-30,2013-09-28,660.3,948.6,121,288.3,2.38264462809917
2013,"TRM","15E","20",63,2013-05-30,2013-09-28,608.22,939.3,121,331.08,2.73619834710744
2013,"TRM","15E","20",70,2013-05-30,2013-09-28,558,833.28,121,275.28,2.27504132231405
2013,"TRM","15E","20",74,2013-05-30,2013-09-28,507.78,818.4,121,310.62,2.56710743801653
2013,"TRM","15E","20",77,2013-05-30,2013-09-28,634.26,913.26,121,279,2.30578512396694
2013,"TRM","15E","20",105,2013-05-30,2013-09-28,491.04,786.78,121,295.74,2.44413223140496
2013,"TRM","15E","20",116,2013-05-30,2013-09-28,574.74,863.04,121,288.3,2.38264462809917
2013,"TRM","15E","20",130,2013-05-30,2013-09-28,554.28,861.18,121,306.9,2.53636363636364
2013,"TRM","15E","20",158,2013-05-30,2013-09-28,470.58,658.44,121,187.86,1.55256198347107
2013,"TRM","15E","20",168,2013-05-30,2013-09-28,567.3,850.02,121,282.72,2.33652892561983
2013,"TRM","15E","20",451,2013-05-30,2013-09-28,520.8,786.78,121,265.98,2.19818181818182
2013,"TRM","15E","20",479,2013-05-30,2013-09-28,591.48,825.84,121,234.36,1.93685950413223
2013,"TRM","15E","20",502,2013-05-30,2013-09-28,615.66,814.68,121,199.02,1.64479338842975
2013,"TRM","15E","20",517,2013-05-30,2013-09-28,639.84,915.12,121,275.28,2.27504132231405
2013,"TRM","15E","20",657,2013-05-30,2013-09-28,502.2,794.22,121,292.02,2.41338842975207
2013,"TRM","15E","20",675,2013-05-30,2013-09-28,584.04,911.4,121,327.36,2.70545454545455
2013,"TRM","15E","20",702,2013-05-30,2013-09-28,531.96,907.68,121,375.72,3.10512396694215
2013,"TRM","15E","20",725,2013-05-30,2013-09-28,543.12,922.56,121,379.44,3.13586776859504
2013,"TRM","15E","20",830,2013-05-30,2013-09-28,610.08,985.8,121,375.72,3.10512396694215
2013,"TRM","17N","14",86,2013-05-30,2013-09-28,606.36,913.26,121,306.9,2.53636363636364
2013,"TRM","17N","14",107,2013-05-30,2013-09-28,584.04,887.22,121,303.18,2.50561983471074
2013,"TRM","17N","14",193,2013-05-30,2013-09-28,593.34,816.54,121,223.2,1.84462809917355
2013,"TRM","17N","14",196,2013-05-30,2013-09-28,563.58,946.74,121,383.16,3.16661157024793
