index,model,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
1163,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + nir + swir1 + dfi:ndti + dfi:satvi + dfi:nir + dfi:swir1 + ndti:satvi + ndti:nir + ndti:swir1 + satvi:nir + satvi:swir1 + nir:swir1,simp,0.6989,0.6969,1009.0586,316.9789,65.0158,0.0538,0.3843,0.1349,0.616,210.8229,33.1445,0.2354,0.0279,0.3073,0.044,0.0464,0.0082,177.7872,0.3655,0.1964,265.3604,0.2572,0.0915,0.4241
1164,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + nir + bai_146 + dfi:ndti + dfi:satvi + dfi:nir + dfi:bai_146 + ndti:satvi + ndti:nir + ndti:bai_146 + satvi:nir + satvi:bai_146 + nir:bai_146,simp,0.6986,0.6966,1011.6164,312.8907,65.1443,0.0512,0.3774,0.1275,0.6084,209.8601,32.1105,0.2351,0.0254,0.306,0.0381,0.0462,0.0072,173.3797,0.3561,0.1937,262.3515,0.2553,0.0886,0.4229
1165,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + nir + bai_246 + dfi:ndti + dfi:satvi + dfi:nir + dfi:bai_246 + ndti:satvi + ndti:nir + ndti:bai_246 + satvi:nir + satvi:bai_246 + nir:bai_246,simp,0.699,0.697,1007.9688,312.9748,64.2572,0.0516,0.3777,0.1278,0.609,209.6392,31.7734,0.2351,0.0257,0.3059,0.0384,0.0462,0.0072,173.3726,0.3561,0.1946,263.1444,0.2552,0.0889,0.4237
1166,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + nir + bai_346 + dfi:ndti + dfi:satvi + dfi:nir + dfi:bai_346 + ndti:satvi + ndti:nir + ndti:bai_346 + satvi:nir + satvi:bai_346 + nir:bai_346,simp,0.7053,0.7034,959.7509,309.6615,68.1544,0.0474,0.3736,0.1284,0.6059,208.4921,33.6011,0.2333,0.0266,0.3028,0.039,0.0457,0.0073,170.237,0.3495,0.1861,258.6082,0.2537,0.0882,0.4193
1167,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + swir1 + bai_126 + dfi:ndti + dfi:satvi + dfi:swir1 + dfi:bai_126 + ndti:satvi + ndti:swir1 + ndti:bai_126 + satvi:swir1 + satvi:bai_126 + swir1:bai_126,simp,0.7024,0.7004,982.5532,313.0632,67.8273,0.049,0.3797,0.1356,0.6172,208.1276,33.1412,0.2323,0.0299,0.3027,0.0459,0.0457,0.0084,171.4855,0.3526,0.1869,262.5652,0.2541,0.0908,0.4183
1168,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + swir1 + bai_146 + dfi:ndti + dfi:satvi + dfi:swir1 + dfi:bai_146 + ndti:satvi + ndti:swir1 + ndti:bai_146 + satvi:swir1 + satvi:bai_146 + swir1:bai_146,simp,0.6976,0.6956,1019.1033,315.0697,65.0594,0.0526,0.3809,0.1308,0.6133,210.105,32.1356,0.235,0.0268,0.3065,0.0412,0.0463,0.0077,175.0328,0.3597,0.1954,265.8626,0.2557,0.0888,0.4184
1169,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + swir1 + bai_246 + dfi:ndti + dfi:satvi + dfi:swir1 + dfi:bai_246 + ndti:satvi + ndti:swir1 + ndti:bai_246 + satvi:swir1 + satvi:bai_246 + swir1:bai_246,simp,0.6982,0.6962,1014.6274,314.7098,64.0682,0.0525,0.3801,0.1291,0.6124,209.6196,31.3825,0.2349,0.0263,0.3065,0.0402,0.0463,0.0075,174.2022,0.3579,0.1952,265.033,0.2551,0.0884,0.42
1170,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + swir1 + bai_346 + dfi:ndti + dfi:satvi + dfi:swir1 + dfi:bai_346 + ndti:satvi + ndti:swir1 + ndti:bai_346 + satvi:swir1 + satvi:bai_346 + swir1:bai_346,simp,0.6991,0.6971,1007.2837,315.2909,67.6523,0.051,0.382,0.1345,0.609,209.6823,33.7283,0.2338,0.0288,0.3051,0.0446,0.0461,0.0082,176.9746,0.3638,0.193,268.5234,0.2553,0.0889,0.4099
1171,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + bai_126 + bai_246 + dfi:ndti + dfi:satvi + dfi:bai_126 + dfi:bai_246 + ndti:satvi + ndti:bai_126 + ndti:bai_246 + satvi:bai_126 + satvi:bai_246 + bai_126:bai_246,simp,0.6981,0.6961,1015.1265,319.1405,61.7849,0.0508,0.3849,0.13,0.6371,210.8591,31.6976,0.2358,0.0277,0.3051,0.04,0.0461,0.0075,167.6806,0.3446,0.1964,265.7961,0.2566,0.0897,0.4304
1172,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + satvi + bai_126 + bai_346 + dfi:ndti + dfi:satvi + dfi:bai_126 + dfi:bai_346 + ndti:satvi + ndti:bai_126 + ndti:bai_346 + satvi:bai_126 + satvi:bai_346 + bai_126:bai_346,simp,0.6896,0.6876,1078.6639,322.0813,66.8592,0.0518,0.3882,0.1317,0.6334,214.7247,34.6464,0.2397,0.0276,0.3096,0.0394,0.0467,0.0074,171.9015,0.3531,0.2001,274.0318,0.2607,0.0896,0.4242
1173,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + nir + swir1 + dfi:ndti + dfi:ndii7 + dfi:nir + dfi:swir1 + ndti:ndii7 + ndti:nir + ndti:swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,simp,0.6805,0.6784,1144.8714,323.6835,65.3519,0.0596,0.3923,0.1363,0.6151,217.2393,32.1765,0.2449,0.029,0.321,0.045,0.0485,0.0084,185.3794,0.3811,0.2101,274.0786,0.265,0.0935,0.4346
1174,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + nir + bai_136 + dfi:ndti + dfi:ndii7 + dfi:nir + dfi:bai_136 + ndti:ndii7 + ndti:nir + ndti:bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,simp,0.6984,0.6964,1012.8272,313.4078,63.4698,0.0531,0.3785,0.129,0.6186,212.0218,32.1398,0.2388,0.025,0.308,0.0362,0.0465,0.0071,173.669,0.3564,0.1933,266.3174,0.2582,0.0909,0.4373
1175,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + nir + bai_236 + dfi:ndti + dfi:ndii7 + dfi:nir + dfi:bai_236 + ndti:ndii7 + ndti:nir + ndti:bai_236 + ndii7:nir + ndii7:bai_236 + nir:bai_236,simp,0.7052,0.7033,960.1682,309.5366,66.4382,0.0509,0.3745,0.1307,0.6157,209.4653,32.7231,0.235,0.0262,0.3033,0.0383,0.0458,0.0074,168.3509,0.3455,0.184,260.8531,0.2556,0.0917,0.4411
1176,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + swir1 + bai_126 + dfi:ndti + dfi:ndii7 + dfi:swir1 + dfi:bai_126 + ndti:ndii7 + ndti:swir1 + ndti:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,simp,0.6841,0.682,1118.7815,319.0762,64.8908,0.0554,0.3859,0.1322,0.6088,213.9209,33.6778,0.2409,0.0304,0.3141,0.0443,0.0474,0.0083,177.7111,0.3653,0.2012,270.541,0.2607,0.0919,0.4227
1177,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + swir1 + bai_136 + dfi:ndti + dfi:ndii7 + dfi:swir1 + dfi:bai_136 + ndti:ndii7 + ndti:swir1 + ndti:bai_136 + ndii7:swir1 + ndii7:bai_136 + swir1:bai_136,simp,0.6954,0.6934,1035.6734,314.0874,66.5952,0.0534,0.3803,0.1327,0.6093,211.3275,33.5379,0.2383,0.0274,0.3089,0.0415,0.0466,0.0078,175.319,0.3602,0.1948,269.2734,0.2575,0.0906,0.425
1178,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + swir1 + bai_236 + dfi:ndti + dfi:ndii7 + dfi:swir1 + dfi:bai_236 + ndti:ndii7 + ndti:swir1 + ndti:bai_236 + ndii7:swir1 + ndii7:bai_236 + swir1:bai_236,simp,0.6986,0.6966,1011.0959,312.8611,66.3765,0.0517,0.3787,0.1315,0.6048,209.9703,31.535,0.2361,0.0271,0.3063,0.0421,0.0462,0.0079,172.3994,0.3543,0.1891,264.1549,0.2556,0.0888,0.4225
1179,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + bai_126 + bai_136 + dfi:ndti + dfi:ndii7 + dfi:bai_126 + dfi:bai_136 + ndti:ndii7 + ndti:bai_126 + ndti:bai_136 + ndii7:bai_126 + ndii7:bai_136 + bai_126:bai_136,simp,0.6792,0.677,1154.5318,323.7523,80.0315,0.0565,0.3919,0.1426,0.6327,221.2087,40.4877,0.2487,0.032,0.3185,0.0421,0.0481,0.0079,179.0073,0.3676,0.2016,295.3916,0.2698,0.0973,0.4401
1180,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + ndii7 + bai_126 + bai_236 + dfi:ndti + dfi:ndii7 + dfi:bai_126 + dfi:bai_236 + ndti:ndii7 + ndti:bai_126 + ndti:bai_236 + ndii7:bai_126 + ndii7:bai_236 + bai_126:bai_236,simp,0.6775,0.6754,1166.1089,324.4732,79.8627,0.0572,0.3924,0.1415,0.6289,221.3566,40.4126,0.2488,0.032,0.3191,0.0419,0.0482,0.0079,178.0326,0.3656,0.2023,296.2558,0.2699,0.097,0.4386
1181,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + nir + swir1 + bai_136 + dfi:ndti + dfi:nir + dfi:swir1 + dfi:bai_136 + ndti:nir + ndti:swir1 + ndti:bai_136 + nir:swir1 + nir:bai_136 + swir1:bai_136,simp,0.6957,0.6937,1033.5107,317.0059,66.2168,0.0545,0.3847,0.1364,0.6067,211.3274,34.086,0.2369,0.0276,0.3084,0.0446,0.0466,0.0083,179.4922,0.369,0.1961,268.7698,0.2575,0.0908,0.4204
1182,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + nir + swir1 + bai_146 + dfi:ndti + dfi:nir + dfi:swir1 + dfi:bai_146 + ndti:nir + ndti:swir1 + ndti:bai_146 + nir:swir1 + nir:bai_146 + swir1:bai_146,simp,0.6882,0.6861,1089.0982,317.4786,69.3129,0.0536,0.386,0.1408,0.6329,211.7001,34.606,0.2374,0.0311,0.3113,0.0475,0.047,0.0087,182.0604,0.3744,0.2014,275.7963,0.2587,0.0937,0.4292
1183,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + nir + swir1 + bai_236 + dfi:ndti + dfi:nir + dfi:swir1 + dfi:bai_236 + ndti:nir + ndti:swir1 + ndti:bai_236 + nir:swir1 + nir:bai_236 + swir1:bai_236,simp,0.6982,0.6962,1014.4723,314.3482,67.2568,0.0528,0.3811,0.1343,0.6085,210.1458,32.4205,0.2359,0.0273,0.3068,0.0432,0.0463,0.008,174.9417,0.3596,0.1909,266.0598,0.2559,0.0893,0.4204
1184,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + nir + swir1 + bai_246 + dfi:ndti + dfi:nir + dfi:swir1 + dfi:bai_246 + ndti:nir + ndti:swir1 + ndti:bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,simp,0.6905,0.6885,1071.9822,317.1713,68.196,0.0541,0.3857,0.1403,0.6161,210.6564,33.8797,0.2368,0.0312,0.3102,0.0483,0.0469,0.0088,182.5222,0.3756,0.2027,274.5308,0.2574,0.093,0.4205
1185,Spatial,5,np.log(Biomass_kg_ha) ~ dfi + ndti + nir + swir1 + bai_346 + dfi:ndti + dfi:nir + dfi:swir1 + dfi:bai_346 + ndti:nir + ndti:swir1 + ndti:bai_346 + nir:swir1 + nir:bai_346 + swir1:bai_346,simp,0.7034,0.7014,974.6921,310.0245,71.498,0.0479,0.3744,0.131,0.6024,208.7634,35.205,0.2339,0.0286,0.3038,0.0411,0.0459,0.0076,173.3347,0.3559,0.1885,268.8128,0.254,0.0884,0.4117
