,model,kfold,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.2356,0.2351,2074.1718,298.2488,0.1062,0.3642,0.3552,0.0535,262.0673,0.4733,0.3903,232.3982,0.2838,0.287
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ ndii7,simp,0.169,0.1685,1831.1633,341.6517,0.8425,0.7057,0.6645,0.109,362.1022,0.8673,0.9958,307.6695,0.6355,0.5699
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0311,0.0305,2433.4948,352.3936,0.4541,0.5015,0.5393,0.0839,343.8704,0.7427,0.846,289.0219,0.4113,0.4313
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0621,0.0615,2215.5726,844.3412,-0.2231,0.6587,0.6476,0.0922,257.3424,0.4948,0.5013,604.4912,0.4716,0.5399
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0466,0.046,2350.2557,592.0075,-0.233,0.5052,0.5088,0.0728,213.745,0.4072,0.4113,440.7659,0.3761,0.4164
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0473,0.0467,2327.7033,614.0369,0.0078,0.5475,0.5157,0.0746,370.5177,0.6722,0.8025,436.272,0.389,0.4123
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0473,0.0467,2441.0776,354.1989,0.0336,0.3819,0.3488,0.0515,276.2069,0.4763,0.48,252.3871,0.2721,0.2731
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0845,0.084,2327.969,544.4081,0.1986,0.5643,0.5548,0.0821,492.3153,0.9484,0.9811,425.9528,0.4415,0.4604
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0562,0.0556,2390.3666,320.0195,0.1164,0.3908,0.3785,0.057,282.2996,0.5098,0.4996,249.024,0.3041,0.308
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ nir,simp,0.0216,0.021,2082.0506,434.4544,1.1029,0.8974,0.7772,0.1275,463.7324,1.1108,1.2822,403.4545,0.8333,0.6885
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5831,0.5828,1074.1172,344.9777,0.3021,0.4909,0.4709,0.0733,313.9529,0.6781,0.5368,233.8652,0.3328,0.323
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5408,0.5406,1115.5621,585.2171,0.0083,0.4565,0.3738,0.0532,298.8033,0.5745,0.4059,359.2324,0.2802,0.2769
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5545,0.5543,1178.4129,386.5029,0.1314,0.3298,0.3265,0.0467,352.8072,0.6721,0.622,307.9646,0.2628,0.268
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5824,0.5821,1061.0899,488.5312,0.0686,0.4356,0.4071,0.0589,402.6359,0.7304,0.6921,331.5169,0.2956,0.2958
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.575,0.5747,1204.5341,298.7293,0.0816,0.3221,0.2962,0.0438,249.0623,0.4295,0.3997,227.7565,0.2456,0.2409
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5776,0.5773,1127.5504,397.24,0.0583,0.4118,0.3725,0.0551,263.766,0.5081,0.4896,288.7418,0.2993,0.3057
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.5642,0.5639,1231.3016,231.4052,-0.0619,0.2826,0.2613,0.0393,114.8231,0.2074,0.0979,168.3894,0.2056,0.2087
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ swir1,simp,0.4612,0.4609,1165.6471,177.4485,0.0591,0.3665,0.332,0.0545,120.4777,0.2886,0.1289,132.9423,0.2746,0.2754
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6578,0.6576,755.94,298.0222,0.145,0.4241,0.4155,0.0647,235.2387,0.5081,0.3405,202.6228,0.2883,0.2928
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6317,0.6315,775.922,550.0903,0.0726,0.4291,0.3529,0.0503,331.4273,0.6372,0.5106,348.845,0.2721,0.2692
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6585,0.6583,769.0552,452.8985,0.2961,0.3865,0.3744,0.0536,485.5636,0.925,0.8659,358.5464,0.306,0.297
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6498,0.6496,790.5406,437.2415,0.0264,0.3898,0.3432,0.0497,278.0468,0.5044,0.4874,283.8652,0.2531,0.2518
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.648,0.6478,915.5909,254.0858,0.0527,0.274,0.2466,0.0364,208.4121,0.3594,0.3233,187.0737,0.2017,0.1975
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6471,0.6468,848.7369,362.4293,-0.0048,0.3757,0.3102,0.0459,167.7999,0.3232,0.2947,238.7368,0.2475,0.2427
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.6448,0.6445,924.5731,219.7857,-0.0706,0.2684,0.237,0.0357,97.234,0.1756,0.068,156.4768,0.1911,0.1894
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ swir2,simp,0.5649,0.5646,837.3213,168.9346,-0.0175,0.3489,0.3128,0.0513,114.7174,0.2748,0.0374,126.802,0.2619,0.2625
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0173,0.0167,2456.4268,419.5923,0.6014,0.5971,0.6288,0.0978,441.3072,0.9531,1.0974,366.312,0.5213,0.5256
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.002,0.0013,2311.225,838.3101,-0.176,0.654,0.6334,0.0902,307.0602,0.5903,0.6559,594.8876,0.4641,0.522
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.002,0.0013,2420.7306,594.2233,-0.1761,0.5071,0.5139,0.0736,324.9048,0.619,0.7005,444.639,0.3794,0.4196
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0088,0.0082,2388.5807,646.2445,-0.1299,0.5762,0.5417,0.0784,257.3578,0.4669,0.5687,443.0147,0.395,0.4238
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0095,0.0089,2500.5982,380.1493,-0.0301,0.4099,0.3733,0.0552,238.3594,0.4111,0.4206,268.2602,0.2893,0.2919
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0002,-0.0005,2464.7962,496.7706,0.051,0.5149,0.4746,0.0702,305.2718,0.5881,0.6248,359.7472,0.3729,0.3884
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0055,0.0048,2468.8435,305.4356,0.1521,0.373,0.3664,0.0552,292.0262,0.5274,0.5474,236.1027,0.2883,0.2929
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_126,simp,0.0093,0.0086,2101.2854,467.0316,1.1907,0.9646,0.8156,0.1338,499.7776,1.1971,1.3832,431.622,0.8915,0.7208
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.1881,0.1876,2148.5281,327.9891,0.4404,0.4668,0.4997,0.0777,332.0796,0.7172,0.7626,261.9228,0.3727,0.3911
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.2169,0.2164,1937.7228,816.3888,-0.2966,0.6369,0.6077,0.0865,137.3165,0.264,0.1758,577.018,0.4501,0.5044
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.2736,0.2731,1931.4887,608.8425,-0.1989,0.5196,0.6454,0.0924,274.3035,0.5226,0.2085,485.2517,0.4141,0.528
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.1833,0.1827,2091.2241,552.246,-0.0387,0.4924,0.4433,0.0641,277.066,0.5026,0.5774,369.5497,0.3295,0.3374
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.2056,0.205,2162.7348,332.9622,0.1827,0.359,0.3435,0.0508,362.8862,0.6258,0.5992,257.0535,0.2772,0.2736
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.2186,0.2181,2082.2111,466.0305,0.1558,0.4831,0.4713,0.0697,405.0863,0.7803,0.8049,346.5218,0.3592,0.3745
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.2121,0.2116,2119.4648,306.1947,0.1384,0.3739,0.3606,0.0543,281.2205,0.5079,0.4513,236.8402,0.2892,0.289
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_136,simp,0.1209,0.1203,1917.7322,346.4743,0.8455,0.7156,0.6556,0.1075,366.9246,0.8789,0.9884,318.9391,0.6588,0.579
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.099,0.0985,2316.4017,421.4345,0.5966,0.5997,0.6294,0.0979,442.1552,0.955,1.0945,369.5649,0.5259,0.5293
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0612,0.0606,2216.9296,792.2889,-0.1085,0.6181,0.5879,0.0837,348.2704,0.6696,0.7249,552.2631,0.4308,0.4752
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0751,0.0745,2303.5986,561.6805,-0.071,0.4793,0.4926,0.0705,478.9426,0.9124,0.9792,427.9332,0.3652,0.4
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0915,0.0909,2254.8559,649.2332,-0.1894,0.5789,0.5493,0.0795,229.4018,0.4162,0.411,453.5485,0.4044,0.4411
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0871,0.0865,2375.7321,381.7439,-0.0224,0.4116,0.3789,0.056,255.1606,0.44,0.42,273.8572,0.2953,0.298
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0587,0.0581,2371.1561,468.4482,-0.0438,0.4856,0.4213,0.0623,193.9867,0.3737,0.3481,321.2453,0.333,0.3371
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0821,0.0814,2348.6583,308.0953,0.1626,0.3762,0.3695,0.0556,301.9468,0.5453,0.5149,239.6326,0.2926,0.2955
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_146,simp,0.0541,0.0535,2030.1461,423.4316,1.071,0.8746,0.7653,0.1255,452.3758,1.0836,1.2493,390.0652,0.8057,0.6729
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.2311,0.2306,2060.9146,336.3405,0.4896,0.4786,0.5285,0.0822,350.9107,0.7579,0.8608,288.0836,0.41,0.4315
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.2383,0.2378,1895.0298,773.4835,-0.2177,0.6034,0.5776,0.0823,198.4519,0.3815,0.2998,527.1681,0.4112,0.4582
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.299,0.2986,1876.6608,638.066,0.0073,0.5445,0.6263,0.0897,578.9085,1.1028,0.7352,537.4087,0.4586,0.5386
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.2202,0.2197,2020.1203,568.8374,-0.1268,0.5072,0.4531,0.0656,194.8708,0.3535,0.4048,378.3079,0.3373,0.3483
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.2362,0.2357,2102.423,337.4457,0.0922,0.3639,0.337,0.0498,313.5898,0.5408,0.4887,254.3232,0.2742,0.27
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.218,0.2175,2083.4776,419.7424,0.0451,0.4351,0.3913,0.0579,246.1126,0.4741,0.4891,298.9284,0.3099,0.3187
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.2589,0.2584,2027.6335,344.4089,0.1583,0.4206,0.4012,0.0604,317.9289,0.5742,0.4407,267.1585,0.3262,0.3215
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_236,simp,0.1502,0.1496,1865.6492,328.5937,0.8055,0.6787,0.6386,0.1048,348.1527,0.8339,0.947,300.3909,0.6205,0.5572
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.1125,0.1119,2292.2007,417.862,0.5897,0.5946,0.6251,0.0973,437.2771,0.9444,1.0829,366.7163,0.5219,0.5261
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.074,0.0734,2195.8607,785.3418,-0.1006,0.6126,0.5816,0.0828,349.6543,0.6722,0.7236,546.3408,0.4262,0.4692
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.0909,0.0903,2277.0209,560.6712,-0.0614,0.4785,0.4937,0.0707,494.0915,0.9413,0.9955,429.2723,0.3663,0.4015
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.1058,0.1052,2230.462,647.112,-0.1934,0.577,0.5475,0.0792,227.0442,0.4119,0.3935,452.5038,0.4035,0.4405
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.1008,0.1002,2352.4466,379.6278,-0.0155,0.4093,0.3771,0.0557,261.042,0.4502,0.4264,272.7262,0.2941,0.2964
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.0721,0.0715,2348.8914,465.7332,-0.0523,0.4828,0.4174,0.0618,186.0257,0.3584,0.3216,318.5177,0.3302,0.3334
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.0973,0.0967,2323.5065,310.8756,0.1646,0.3796,0.372,0.056,304.9448,0.5507,0.5086,242.6948,0.2964,0.2983
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_246,simp,0.0622,0.0616,2016.8965,415.2361,1.0483,0.8577,0.7553,0.1239,443.3806,1.062,1.2237,382.4737,0.79,0.6638
0,Temporal,2013,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1528,0.1523,2217.2367,414.0405,0.606,0.5892,0.6234,0.097,441.387,0.9533,1.0941,365.5992,0.5203,0.5246
1,Temporal,2014,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1137,0.1131,2128.4649,774.5436,-0.0975,0.6042,0.5727,0.0816,341.9211,0.6574,0.6915,534.6843,0.4171,0.4583
2,Temporal,2015,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1315,0.1309,2206.6998,554.0624,-0.0502,0.4728,0.4913,0.0703,503.3214,0.9588,0.9851,427.3296,0.3647,0.4004
3,Temporal,2016,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1403,0.1397,2170.023,632.9285,-0.1976,0.5643,0.5331,0.0771,219.904,0.3989,0.3494,443.3409,0.3953,0.4313
4,Temporal,2017,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1371,0.1365,2289.3592,370.1735,0.0057,0.3992,0.3682,0.0544,272.622,0.4701,0.4411,267.4733,0.2884,0.2896
5,Temporal,2018,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1074,0.1068,2288.6892,452.661,-0.0642,0.4692,0.403,0.0596,173.4303,0.3341,0.2638,308.4484,0.3197,0.3211
6,Temporal,2019,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.1408,0.1402,2249.4357,322.3199,0.1577,0.3936,0.3829,0.0576,310.0144,0.5599,0.4795,252.6116,0.3085,0.3089
7,Temporal,2020,1,np.log(Biomass_kg_ha) ~ bai_346,simp,0.0861,0.0855,1977.2133,394.0094,0.9896,0.8138,0.7281,0.1194,420.2796,1.0067,1.1561,362.6064,0.749,0.6392
0,Temporal,2013,2,np.log(Biomass_kg_ha) ~ dfi + ndvi + dfi:ndvi,simp,0.5428,0.542,1226.8608,278.1075,0.1286,0.3958,0.3935,0.0612,183.3529,0.396,0.3701,207.4821,0.2953,0.3108
1,Temporal,2014,2,np.log(Biomass_kg_ha) ~ dfi + ndvi + dfi:ndvi,simp,0.542,0.5411,1115.6019,611.3274,0.0767,0.4769,0.4232,0.0603,487.6227,0.9375,0.8334,411.4503,0.321,0.3339
2,Temporal,2015,2,np.log(Biomass_kg_ha) ~ dfi + ndvi + dfi:ndvi,simp,0.5403,0.5394,1230.9318,367.2195,0.1105,0.3134,0.335,0.048,398.7458,0.7596,0.7897,278.3454,0.2375,0.2529
3,Temporal,2016,2,np.log(Biomass_kg_ha) ~ dfi + ndvi + dfi:ndvi,simp,0.5318,0.5309,1240.5318,427.4736,-0.0346,0.3811,0.3272,0.0473,127.76,0.2318,0.1825,282.8851,0.2522,0.257
4,Temporal,2017,2,np.log(Biomass_kg_ha) ~ dfi + ndvi + dfi:ndvi,simp,0.5504,0.5495,1294.5403,264.5747,0.0667,0.2853,0.2687,0.0397,264.5655,0.4563,0.3104,200.4247,0.2161,0.2129
