Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1
20NW,5/30/2014,1,4,20,2,bogr,g,0
20NW,5/30/2014,1,5,7,1,bogr,g,0
20NW,5/30/2014,1,6,12,2,stco,g,0
20NW,5/30/2014,1,7,8,1,bogr,g,0
20NW,5/30/2014,1,8,11,2,bogr,g,0
20NW,5/30/2014,1,9,10,3,pasm,g,0
20NW,5/30/2014,1,10,13,1,stco,g,0
20NW,5/30/2014,1,11,24,5,stco,g,0
20NW,5/30/2014,1,12,24,8,stco,g,0
20NW,5/30/2014,1,13,32,3,pasm,g,0
20NW,5/30/2014,1,14,11,3,bogr,g,0
20NW,5/30/2014,1,15,19,4,oppo,g,1
20NW,5/30/2014,1,16,11,2,pasm,g,0
20NW,5/30/2014,1,17,12,2,pasm,g,0
20NW,5/30/2014,1,18,16,1,pasm,g,0
20NW,5/30/2014,1,19,11,2,pasm,g,0
20NW,5/30/2014,1,20,31,5,stco,g,0
20NW,5/30/2014,1,21,9,3,bogr,g,0
20NW,5/30/2014,1,22,8,3,cael,g,0
20NW,5/30/2014,1,23,8,3,bogr,g,0
20NW,5/30/2014,1,24,18,1,bogr,g,0
20NW,5/30/2014,1,25,6,3,bogr,g,0
20NW,5/30/2014,2,1,14,1,bogr,g,0
20NW,5/30/2014,2,2,30,1,bogr,g,0
20NW,5/30/2014,2,3,34,7,stco,g,0
20NW,5/30/2014,2,4,34,6,stco,g,0
20NW,5/30/2014,2,5,30,6,stco,g,0
20NW,5/30/2014,2,6,6,3,stco,g,0
20NW,5/30/2014,2,7,32,4,stco,g,0
20NW,5/30/2014,2,8,15,1,spcr,g,0
20NW,5/30/2014,2,9,26,3,stco,g,0
20NW,5/30/2014,2,10,30,5,stco,g,0
20NW,5/30/2014,2,11,29,3,stco,g,0
20NW,5/30/2014,2,12,24,3,stco,b,0
20NW,5/30/2014,2,13,29,8,stco,g,0
20NW,5/30/2014,2,14,30,8,stco,g,0
20NW,5/30/2014,2,15,19,3,stco,g,0
20NW,5/30/2014,2,16,32,9,stco,g,0
20NW,5/30/2014,2,17,29,5,pasm,g,0
20NW,5/30/2014,2,18,34,3,stco,g,0
20NW,5/30/2014,2,19,25,2,pasm,g,0
20NW,5/30/2014,2,20,22,1,pasm,g,0
20NW,5/30/2014,2,21,20,1,stco,g,0
20NW,5/30/2014,2,22,22,3,stco,g,0
20NW,5/30/2014,2,23,9,1,vuoc,g,1
20NW,5/30/2014,2,24,12,3,vuoc,g,1
20NW,5/30/2014,2,25,24,1,bogr,g,0
20NW,5/30/2014,3,1,30,2,stco,g,0
20NW,5/30/2014,3,2,28,1,vuoc,b,1
20NW,5/30/2014,3,3,6,1,bogr,g,0
20NW,5/30/2014,3,4,10,1,bogr,g,0
20NW,5/30/2014,3,5,18,2,vuoc,g,1
20NW,5/30/2014,3,6,28,2,bogr,g,0
20NW,5/30/2014,3,7,4,1,bogr,g,0
20NW,5/30/2014,3,8,32,5,stco,g,0
20NW,5/30/2014,3,9,32,3,pasm,g,0
20NW,5/30/2014,3,10,18,4,bogr,g,0
20NW,5/30/2014,3,11,28,3,stco,g,0
20NW,5/30/2014,3,12,26,10,stco,g,0
20NW,5/30/2014,3,13,34,6,stco,g,0
20NW,5/30/2014,3,14,32,2,pasm,g,0
20NW,5/30/2014,3,15,26,1,bogr,g,0
20NW,5/30/2014,3,16,8,1,vuoc,g,1
20NW,5/30/2014,3,17,24,3,vuoc,b,1
20NW,5/30/2014,3,18,31,3,vuoc,g,1
20NW,5/30/2014,3,19,9,3,vuoc,g,1
20NW,5/30/2014,3,20,29,1,vuoc,g,1
20NW,5/30/2014,3,21,20,3,vuoc,g,1
20NW,5/30/2014,3,22,24,6,stco,g,0
20NW,5/30/2014,3,23,30,3,stco,g,0
20NW,5/30/2014,3,24,12,2,vuoc,b,1
20NW,5/30/2014,3,25,31,4,stco,g,0
20NW,5/30/2014,4,1,24,1,stco,g,0
20NW,5/30/2014,4,2,11,3,vuoc,g,1
20NW,5/30/2014,4,3,34,4,stco,g,0
20NW,5/30/2014,4,4,32,5,stco,g,0
20NW,5/30/2014,4,5,29,4,stco,g,0
20NW,5/30/2014,4,6,26,3,stco,g,0
20NW,5/30/2014,4,7,26,4,stco,g,0
20NW,5/30/2014,4,8,35,1,vuoc,g,1
20NW,5/30/2014,4,9,26,6,stco,g,0
20NW,5/30/2014,4,10,25,2,bogr,g,0
20NW,5/30/2014,4,11,30,4,stco,g,0
20NW,5/30/2014,4,12,15,1,stco,g,0
20NW,5/30/2014,4,13,22,4,arlo,b,1
20NW,5/30/2014,4,14,22,2,vuoc,b,1
20NW,5/30/2014,4,15,30,1,pste,b,0
20NW,5/30/2014,4,16,29,8,vuoc,g,1
20NW,5/30/2014,4,17,34,5,stco,g,0
20NW,5/30/2014,4,18,26,3,vuoc,g,1
20NW,5/30/2014,4,19,30,2,vuoc,g,1
20NW,5/30/2014,4,20,13,2,vuoc,g,1
20NW,5/30/2014,4,21,22,4,vuoc,g,1
20NW,5/30/2014,4,22,26,4,vuoc,g,1
20NW,5/30/2014,4,23,20,6,stco,g,0
20NW,5/30/2014,4,24,13,3,bogr,g,0
20NW,5/30/2014,4,25,40,18,orhy,g,0
18S,5/30/2014,1,1,30,3,oppo,g,1
18S,5/30/2014,1,2,42,37,atca,g,0
18S,5/30/2014,1,3,8,3,bogr,g,0
18S,5/30/2014,1,4,20,6,bogr,b,0
18S,5/30/2014,1,5,24,7,oppo,g,1
18S,5/30/2014,1,6,21,4,pste,g,0
18S,5/30/2014,1,7,12,4,bogr,b,0
18S,5/30/2014,1,8,21,3,oppo,b,1
18S,5/30/2014,1,9,22,6,sihy,g,0
