Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low
17S,6/8/2015,5,16,18,2,bogr,g,0,2
17S,6/8/2015,5,17,12,2,bogr,g,0,2
17S,6/8/2015,5,18,36,8,pasm,b,0,8
17S,6/8/2015,5,19,21,7,bogr,b,0,7
17S,6/8/2015,5,20,10,3,bogr,g,0,3
17S,6/8/2015,5,21,8,2,bogr,g,0,2
17S,6/8/2015,5,22,12,3,bogr,g,0,3
17S,6/8/2015,5,23,21,2,bogr,g,0,2
17S,6/8/2015,5,24,13,3,bogr,g,0,3
17S,6/8/2015,5,25,10,3,bogr,g,0,3
17S,6/8/2015,6,1,40,8,stco,b,0,8
17S,6/8/2015,6,2,32,10,stco,b,0,10
17S,6/8/2015,6,3,46,24,spai,b,0,24
17S,6/8/2015,6,4,50,25,spai,b,0,25
17S,6/8/2015,6,5,10,3,stco,b,0,3
17S,6/8/2015,6,6,40,18,spai,b,0,18
17S,6/8/2015,6,7,22,8,stco,b,0,8
17S,6/8/2015,6,8,39,12,stco,b,0,12
17S,6/8/2015,6,9,86,15,spai,b,0,15
17S,6/8/2015,6,10,82,34,spai,b,0,34
17S,6/8/2015,6,11,46,16,pasm,b,0,16
17S,6/8/2015,6,12,50,12,spai,b,0,12
17S,6/8/2015,6,13,40,8,pasm,b,0,8
17S,6/8/2015,6,14,38,14,stco,b,0,14
17S,6/8/2015,6,15,56,10,spai,b,0,10
17S,6/8/2015,6,16,26,7,vuoc,b,1,
17S,6/8/2015,6,17,32,15,stco,b,0,15
17S,6/8/2015,6,18,53,28,spai,b,0,28
17S,6/8/2015,6,19,87,15,stco,b,0,15
17S,6/8/2015,6,20,56,12,spai,b,0,12
17S,6/8/2015,6,21,54,19,spai,b,0,19
17S,6/8/2015,6,22,54,18,stco,b,0,18
17S,6/8/2015,6,23,40,8,spai,b,0,8
17S,6/8/2015,6,24,37,22,stco,b,0,22
17S,6/8/2015,6,25,40,25,stco,b,0,25
17S,6/17/2015,5,1,16,2,bogr,b,0,2
17S,6/17/2015,5,2,9,2,bogr,g,0,2
17S,6/17/2015,5,3,43,5,arlo,b,1,
17S,6/17/2015,5,4,14,4,bogr,g,0,4
17S,6/17/2015,5,5,6,1,bogr,g,0,1
17S,6/17/2015,5,6,11,2,bogr,g,0,2
17S,6/17/2015,5,7,16,2,bogr,g,0,2
17S,6/17/2015,5,8,6,3,buda,g,0,3
17S,6/17/2015,5,9,24,5,pasm,g,0,5
17S,6/17/2015,5,10,7,2,bogr,g,0,2
17S,6/17/2015,5,11,4,1,bogr,g,0,1
