Year,Id,SOS_doy,SOS_date,NDVI_smooth2
2015,20SE_P1,91,2015-04-02,0.18759661496447685
2015,20SE_P2,99,2015-04-10,0.1943926455582239
2015,20SE_P3,63,2015-03-05,0.18686376142370512
2015,20SE_P4,93,2015-04-04,0.17545061419274185
2015,20SE_P5,96,2015-04-07,0.17283428481225194
2015,20SE_P6,99,2015-04-10,0.17214118029446646
2015,21N_P1,94,2015-04-05,0.1886196773685647
2015,21N_P2,92,2015-04-03,0.17828978474051088
2015,21N_P3,93,2015-04-04,0.19084543474576512
2015,21N_P4,91,2015-04-02,0.198624137544402
2015,23E_P1,88,2015-03-30,0.19056487987351417
2015,23E_P2,87,2015-03-29,0.19431705280385325
2015,23E_P3,87,2015-03-29,0.18745638253116584
2015,23E_P4,65,2015-03-07,0.17812372946548458
2015,24W_P1,97,2015-04-08,0.1814930203375135
2015,24W_P2,97,2015-04-08,0.18874126209418535
2015,24W_P3,91,2015-04-02,0.17653853779045903
2015,24W_P4,93,2015-04-04,0.17786435943900392
2015,25NW_P1,99,2015-04-10,0.18849641025406424
2015,25NW_P2,99,2015-04-10,0.188007390709854
2015,25NW_P3,63,2015-03-05,0.18251429173896577
2015,25NW_P4,64,2015-03-06,0.18709135442636973
2015,25SE_P1,96,2015-04-07,0.18177068673769456
2015,25SE_P2,89,2015-03-31,0.18434747136147608
2015,25SE_P3,90,2015-04-01,0.178890827479905
2015,25SE_P4,67,2015-03-09,0.16277905852634447
2015,26E_P1,75,2015-03-17,0.18281898668225358
2015,26E_P2,72,2015-03-14,0.18071788845008158
2015,26E_P3,63,2015-03-05,0.18008214533910888
2015,26E_P4,72,2015-03-14,0.17771089260307404
2015,26W_P1,63,2015-03-05,0.18969951450331723
2015,26W_P2,63,2015-03-05,0.18961930946814337
2015,26W_P3,64,2015-03-06,0.1916353329229986
2015,26W_P4,63,2015-03-05,0.19255313949838399
2015,28N_P1,93,2015-04-04,0.20603115543144845
