Id,Year,iAPAR_at_Sampling,Total_Biomass,Treatment,SamplingDate
17S_P1,2015,108.788114710978,1748.0599584000001,AGM,2015-08-07
17S_P1,2016,88.81438320853614,1463.6234781,AGM,2016-08-04
17S_P1,2017,82.73401461832883,1758.5547765000001,AGM,2017-08-04
17S_P1,2018,74.03565381630243,2134.2154449,AGM,2018-08-06
17S_P1,2019,68.93834934120815,2569.4005687500003,AGM,2019-08-06
17S_P1,2020,44.4700355937751,619.2211777,AGM,2020-08-03
17S_P1,2021,81.71151862241364,3509.95154895,AGM,2021-08-05
17S_P1,2022,38.37372547326202,826.99166625,AGM,2022-08-03
17S_P2,2014,103.13815696391904,2797.8108663,AGM,2014-08-04
17S_P2,2015,110.10852449354715,2424.572079,AGM,2015-08-07
17S_P2,2016,95.57382166607422,1632.69768867,AGM,2016-08-03
17S_P2,2017,87.41056289109613,2133.81179785,AGM,2017-08-07
17S_P2,2018,79.05836060419492,1430.5244364,AGM,2018-08-06
17S_P2,2019,74.72873417447731,2577.39277616,AGM,2019-08-06
17S_P2,2020,47.23370044420964,649.4408718699999,AGM,2020-08-03
17S_P2,2021,78.89752529630307,5146.63188645,AGM,2021-08-05
17S_P2,2022,40.34279962228273,636.84709013,AGM,2022-08-03
17S_P3,2014,128.52570390581346,3937.9786685999998,AGM,2014-08-04
17S_P3,2015,114.00608304072199,3307.213191,AGM,2015-08-07
17S_P3,2016,100.40032113321426,2458.96279082,AGM,2016-08-04
17S_P3,2017,89.75912647166179,4691.990984,AGM,2017-08-08
17S_P3,2018,86.18064935697804,3364.8001415,AGM,2018-08-06
17S_P3,2019,76.16382012472822,5100.8314242100005,AGM,2019-08-06
17S_P3,2020,58.00905785323351,2762.3437631199995,AGM,2020-08-03
17S_P3,2021,94.87260743388961,4654.39800798,AGM,2021-08-05
17S_P3,2022,39.736978980655294,1903.35635662,AGM,2022-08-03
17S_P4,2014,145.47732735617703,3736.9625375,AGM,2014-08-04
17S_P4,2015,116.83207683482802,2755.562496,AGM,2015-08-07
17S_P4,2016,103.45178626381353,1539.239988,AGM,2016-08-04
17S_P4,2017,95.86399422901202,3256.8918837,AGM,2017-08-06
17S_P4,2018,101.40036396335242,2771.1701738,AGM,2018-08-06
17S_P4,2019,80.63253191510988,3163.86473935,AGM,2019-08-06
17S_P4,2020,64.73863806277316,1008.4174705500001,AGM,2020-08-03
17S_P4,2021,98.46953518882523,4576.62871465,AGM,2021-08-05
17S_P4,2022,53.564059921917654,1247.16112736,AGM,2022-08-03
17S_P5,2014,105.65368520850149,1204.2131024999999,AGM,2014-08-04
17S_P5,2015,95.03712471310612,2465.28659117,AGM,2015-08-07
17S_P5,2016,74.65302881660956,936.1915941,AGM,2016-08-04
17S_P5,2017,69.91321519236267,1076.9297958,AGM,2017-08-04
17S_P5,2018,62.323830009320815,1649.570127,AGM,2018-08-06
17S_P5,2019,60.94409400991767,3918.89962728,AGM,2019-08-07
17S_P5,2020,46.18066629075438,645.53895229,AGM,2020-08-04
17S_P5,2021,73.30662212568875,4392.1351946800005,AGM,2021-08-05
17S_P5,2022,36.36387351083167,556.65591597,AGM,2022-08-04
17S_P6,2014,131.85843642004355,4718.3625787,AGM,2014-08-04
17S_P6,2015,100.22840686198184,4157.8316532,AGM,2015-08-07
17S_P6,2016,87.66429289320284,3201.4577160999997,AGM,2016-08-04
17S_P6,2017,81.57439986810404,3906.6825831299993,AGM,2017-08-04
17S_P6,2018,71.6434685676819,2922.4031938,AGM,2018-08-06
17S_P6,2019,70.5848642676411,4272.19826054,AGM,2019-08-07
17S_P6,2020,47.08274558884396,1544.83722449,AGM,2020-08-04
17S_P6,2021,110.19437022124461,5485.93742827,AGM,2021-08-06
17S_P6,2022,40.6374404714211,1753.4688261699998,AGM,2022-08-04
18S_P1,2014,118.0908484204671,3334.6611769,AGM,2014-08-04
18S_P1,2015,129.43155156723154,3525.1824896,AGM,2015-08-06
18S_P1,2017,71.25465938084525,3045.6500321000003,AGM,2017-08-04
18S_P1,2018,71.40502071663146,1645.8027566,AGM,2018-08-06
18S_P1,2019,93.79202359172777,3286.30428404,AGM,2019-08-02
18S_P1,2020,47.72630945360437,985.1943217200001,AGM,2020-08-05
18S_P1,2021,116.32895539728973,3730.96165435,AGM,2021-08-09
18S_P1,2022,38.40496783079733,493.6331877399999,AGM,2022-08-03
18S_P2,2014,113.42277013827766,3323.8972607999995,AGM,2014-08-04
18S_P2,2015,128.47960441888617,1862.9647618000001,AGM,2015-08-06
18S_P2,2016,85.93507366499585,1657.1048682,AGM,2016-08-03
18S_P2,2017,71.34330212004033,1951.84779807,AGM,2017-08-04
18S_P2,2018,75.22857046785056,1763.9367347000002,AGM,2018-08-06
18S_P2,2020,49.51904627604415,1355.0424754599999,AGM,2020-08-05
18S_P2,2021,107.70267036855556,3070.8645053799996,AGM,2021-08-09
18S_P2,2022,33.918118491128546,720.9940034299999,AGM,2022-08-03
18S_P3,2014,112.15027954021598,4414.5510495,AGM,2014-08-04
