Year,PastureID,ID,on_date,on_wt_raw,on_wt,off_date,off_wt_raw,off_wt,on_ct,Past_Year,period_days,adg
2021,23E,617_white,2021-05-22,708.0,658.44,2021-06-17,886.0,808.918,30,23E_2021,26,5.787615384615383
2009,23E,548_nan,2009-05-15,674.0,674.0,2009-06-12,836.0,836.0,30,23E_2009,28,5.785714285714286
2009,23W,518_nan,2009-05-15,482.0,482.0,2009-06-12,644.0,644.0,15,23W_2009,28,5.785714285714286
2014,23W,178_nan,2014-05-15,784.0,729.12,2014-06-12,976.0,891.088,15,23W_2014,28,5.784571428571427
2013,23W,32_nan,2013-06-27,748.0,682.924,2013-07-25,924.0,843.612,15,23W_2013,28,5.738857142857142
2016,23W,277_white,2016-05-13,682.0,634.26,2016-06-09,864.0,788.832,15,23W_2016,27,5.724888888888889
2023,19N,259_white,2023-05-19,634.0,589.62,2023-06-15,815.0,744.095,21,19N_2023,27,5.721296296296297
2020,19N,847_yellow,2020-05-16,622.0,578.46,2020-06-11,796.0,726.748,26,19N_2020,26,5.703384615384616
2021,23W,690_white,2021-05-22,628.0,584.04,2021-06-17,802.0,732.226,15,23W_2021,26,5.69946153846154
2019,15E,588_yellow,2019-05-16,732.0,680.76,2019-06-13,920.0,839.96,22,15E_2019,28,5.685714285714288
2016,15E,288_white,2016-05-13,752.0,699.36,2016-06-09,934.0,852.742,22,15E_2016,27,5.680814814814813
2017,23E,756_green,2017-06-08,758.0,692.054,2017-07-06,932.0,850.916,30,23E_2017,28,5.67364285714286
2017,15E,715_green,2017-06-08,656.0,598.928,2017-07-06,830.0,757.79,23,15E_2017,28,5.673642857142856
2016,15E,572_yellow,2016-05-13,678.0,630.54,2016-06-09,858.0,783.354,22,15E_2016,27,5.659777777777781
2024,15E,56_white,2024-05-17,714.0,664.02,2024-06-13,894.0,816.222,30,15E_2024,27,5.637111111111111
2017,23E,238_white,2017-06-08,842.0,768.746,2017-07-06,1014.0,925.782,30,23E_2017,28,5.608428571428574
2023,23E,149_white,2023-06-15,762.0,695.706,2023-07-13,934.0,852.742,26,23E_2023,28,5.608428571428569
2016,23E,628_yellow,2016-05-13,556.0,517.08,2016-06-09,732.0,668.316,30,23E_2016,27,5.601333333333333
2022,23E,210_white,2022-05-23,722.0,671.46,2022-06-16,882.0,805.266,34,23E_2022,24,5.575249999999997
2009,23W,451_nan,2009-05-15,518.0,518.0,2009-06-12,674.0,674.0,15,23W_2009,28,5.571428571428571
2009,23E,279_nan,2009-05-15,646.0,646.0,2009-06-12,802.0,802.0,30,23E_2009,28,5.571428571428571
2021,23E,640_white,2021-05-22,632.0,587.76,2021-06-17,802.0,732.226,30,23E_2021,26,5.556384615384616
2017,23E,137_white,2017-06-08,760.0,693.88,2017-07-06,930.0,849.09,30,23E_2017,28,5.543214285714287
2017,23E,708_green,2017-06-08,722.0,659.186,2017-07-06,892.0,814.396,30,23E_2017,28,5.543214285714283
2024,23W,254_white,2024-05-17,684.0,636.12,2024-06-13,860.0,785.18,23,23W_2024,27,5.520740740740739
2018,15E,527_yellow,2018-05-10,592.0,550.56,2018-06-07,772.0,704.836,26,15E_2018,28,5.509857142857145
2015,23W,1070_nan,2015-05-15,632.0,587.76,2015-06-11,806.0,735.878,15,23W_2015,27,5.485851851851854
2021,15E,719_white,2021-05-22,654.0,608.22,2021-06-17,822.0,750.486,20,15E_2021,26,5.47176923076923
2014,15E,158_nan,2014-05-15,790.0,734.7,2014-06-12,972.0,887.436,20,15E_2014,28,5.454857142857143
2019,23E,358_green,2019-06-13,746.0,681.098,2019-07-11,912.0,832.656,34,23E_2019,28,5.412785714285714
2017,23E,253_white,2017-06-08,650.0,593.45,2017-07-06,816.0,745.008,30,23E_2017,28,5.412785714285714
